alpha,penalty_ratio,seed,physics,split,rmse,mae,r2,mean_error_min,rmse_bias_removed,pct_over_predictions,mean_over_pred_min,max_over_pred_min,safety_loss_min2
0.5,1.0,7,on,ood,40.40087776908943,25.42924263807663,0.3882398698670061,-15.65765960830268,37.243370149644505,33.2703213610586,14.685134723722781,174.3793746138213,469.23707573768695
0.5,1.0,42,on,ood,38.075660835596985,24.23304133544025,0.45663148876101856,-13.521409241864841,35.59392420317583,35.34971644612476,15.150944859629394,121.1852460768605,422.01169331409625
0.5,1.0,123,on,ood,40.30815663993853,25.133342050210537,0.3910446603881894,-13.066301833385909,38.13160432120155,37.051039697542535,16.2843476395414,187.9564358945886,525.9056968398736
0.5,1.0,2024,on,ood,37.27010637540116,23.95708688464632,0.4793800185422564,-12.030872968570629,35.27490502960759,36.57844990548204,16.302240727659022,147.23505118379404,436.7832568655785
0.5,1.0,31415,on,ood,41.63022037617371,26.29076608660475,0.3504434184696573,-15.139281398292077,38.77985826833456,38.46880907372401,14.49419017227863,136.2227675304669,466.2973579908436
0.5,1.0,7,on,test,26.861205122046865,16.28443870104152,0.8716846222122077,-0.12344516773893631,26.860921464075627,47.442622950819676,17.032145914503417,269.6728246530137,427.7837326146198
0.5,1.0,42,on,test,25.974734909556254,15.687378427620997,0.880014167730093,0.6556098895837704,25.966459698896198,49.14754098360656,16.626455759664623,270.85639193989687,411.4128418274175
0.5,1.0,123,on,test,26.45630162425864,16.09160416858992,0.8755238959787335,0.4536079769666931,26.452412658148642,49.01639344262295,16.877223091621293,266.1459085205515,424.53926901835996
0.5,1.0,2024,on,test,26.794854542643787,16.15437748459986,0.8723177497686272,0.11259805820420125,26.794617960305516,48.91803278688525,16.62676789730308,277.01650010204384,427.49950060859095
0.5,1.0,31415,on,test,25.482188048643835,15.417168081334948,0.8845214949565776,0.1635015464735337,25.481663505170683,48.131147540983605,16.185641132430476,258.38486539031226,386.0519536067798
0.5,1.0,7,on,val,24.16293358633533,15.22458586508484,0.8943412827410063,-0.26492335053023697,24.161481227689574,49.65562479501476,15.063411825256601,250.42664327298849,320.76353492293913
0.5,1.0,42,on,val,23.345103328023086,14.801329932425295,0.9013725931880968,0.35750867195842073,23.342365710132064,50.83633978353559,14.90945125960192,230.74400280036934,309.6167485872225
0.5,1.0,123,on,val,23.834043479289864,15.040092481059876,0.8971980226977706,0.08128018965601239,23.83390488575989,49.65562479501476,15.226243485142911,242.8923026898584,319.37623816215097
0.5,1.0,2024,on,val,24.028692853148065,15.171992884156408,0.8955120266654121,-0.1273411160617686,24.02835542585237,49.59002951787471,15.169028849510767,240.51564872186498,324.20581068899514
0.5,1.0,31415,on,val,23.326957278797238,14.697832491159268,0.9015258589236701,-0.268705249519266,23.325409607887106,48.73729091505412,14.80296398376863,249.30678571966848,300.0926471809125
0.6,1.4999999999999998,7,on,ood,39.6690612456676,24.332836228988008,0.4102018389848324,-17.262007365977468,35.716348102927135,27.788279773156898,12.722681865757064,124.15643365521618,406.3058021799618
0.6,1.4999999999999998,42,on,ood,40.20041948631445,24.94949331145183,0.39429558733976544,-17.6785350323975,36.1046136384804,29.017013232514177,12.52878478703498,128.15660620578967,425.6212307837514
0.6,1.4999999999999998,123,on,ood,39.55962061369817,25.083316057255466,0.4134516685889932,-15.644850395975734,36.334587367785964,32.23062381852552,14.64207722820228,142.70809251506384,442.25653256076316
0.6,1.4999999999999998,2024,on,ood,42.51250883381302,26.53687419248724,0.3226189574870052,-20.033335241294573,37.4963849784874,26.46502835538752,12.287043232789003,107.00663026523313,434.8750247715542
0.6,1.4999999999999998,31415,on,ood,43.96898446673077,27.103984106997704,0.27540983031285793,-19.80154252544519,39.25774456904774,29.489603024574667,12.381383322568208,118.23355392115997,477.79344189879083
0.6,1.4999999999999998,7,on,test,28.655687071448973,17.858584009960932,0.8539675497653334,-2.5285064487894027,28.54391452963728,44.0327868852459,17.40757131853059,257.55839490137504,443.6400065289073
0.6,1.4999999999999998,42,on,test,27.026941656366706,16.717257898844007,0.870096297759935,-2.159957990806758,26.940492882918825,44.49180327868852,16.359530110358737,252.09076406861914,395.89522212776063
0.6,1.4999999999999998,123,on,test,27.1130950025166,16.70368107595068,0.8692667938914794,-2.084146402876208,27.03287358729865,44.16393442622951,16.551440517029377,271.7571650993191,405.6537982501315
0.6,1.4999999999999998,2024,on,test,28.231094229210036,17.5975292863494,0.8582630302538705,-2.6255742006461715,28.108736035180193,43.9344262295082,17.038978735595087,258.56786550503,428.67552570781424
0.6,1.4999999999999998,31415,on,test,28.105420650122973,17.516363871679637,0.8595221344778965,-2.5438520655975614,27.990060496338945,43.606557377049185,17.16772970246253,258.76343909701745,425.04582138176306
0.6,1.4999999999999998,7,on,val,25.935886695716437,16.645565491704748,0.8782670311182262,-2.4235978366382733,25.82240097704478,45.68711052804198,15.564529569381795,236.87095868200655,340.4748689574918
0.6,1.4999999999999998,42,on,val,24.74715107537756,15.815725281384877,0.8891702298268427,-2.422467928706554,24.628299484169606,45.19514594949164,14.817141389084256,232.26148990324398,306.5762955747141
0.6,1.4999999999999998,123,on,val,24.536967423704937,15.646861388452626,0.8910448441874992,-2.4711658013317237,24.412212311347076,44.21121679239095,14.90085157460372,223.4790227359482,298.8266514533656
0.6,1.4999999999999998,2024,on,val,25.656104235779257,16.62908435046628,0.8808792453146551,-2.7895880860279014,25.503997389967353,44.89996720236143,15.411477030778894,219.85376200856103,325.3149600107642
0.6,1.4999999999999998,31415,on,val,25.55616466068788,16.36546492960623,0.8818054725118956,-2.7008998474737407,25.4130417734302,43.68645457527058,15.639361462245478,236.85105808644104,328.69682275575684
0.7,2.333333333333333,7,on,ood,42.5326092057353,26.607894733052497,0.32197825995750573,-21.264336710221084,36.83545615466358,20.604914933837428,12.966707312283573,103.7945408617486,426.22140785265657
0.7,2.333333333333333,42,on,ood,41.65209875051935,26.131935445045986,0.34976050225091737,-21.097828768544414,35.91349261177748,18.714555765595463,13.449709251865315,119.21231831098768,427.63994189202555
0.7,2.333333333333333,123,on,ood,41.96699264138306,26.405613275719915,0.3398915909182241,-21.5208064914422,36.02892392675361,19.848771266540645,12.305060899442426,99.7011626397452,412.22488873221096
0.7,2.333333333333333,2024,on,ood,41.43092107921935,25.51369071783504,0.3566478676187086,-20.365289249403776,36.080136020539356,21.550094517958414,11.945194635088331,89.14759027904563,402.317848633342
